machine_id,query_id,cost,time_ms,shared_hit,shared_read,rows
c5a,q10,160189.8,536.241,176780,85991,20
c5a,q10,160189.8,534.43,176780,85991,20
c5a,q10,160189.8,530.821,176780,85991,20
c5a,q10,160189.8,528.013,176780,85991,20
c5a,q10,160189.8,534.745,176780,85991,20
c5a,q10,160189.8,532.626,176780,85991,20
c5a,q10,160189.8,528.108,176780,85991,20
c5a,q10,160189.8,529.887,176780,85991,20
c5a,q10,160189.8,534.941,176780,85991,20
c5a,q10,160189.8,513.352,176780,85991,20
c5a,q10,160189.8,534.525,176780,85991,20
c5a,q10,160189.8,536.762,176780,85991,20
c5a,q10,160189.8,513.763,176780,85991,20
c5a,q10,160189.8,528.049,176780,85991,20
c5a,q10,160189.8,515.586,176780,85991,20
c5a,q10,160189.8,528.488,176780,85991,20
c5a,q10,160189.8,531.386,176780,85991,20
c5a,q10,160189.8,530.462,176780,85991,20
c5a,q10,160189.8,526.755,176780,85991,20
c5a,q10,160189.8,511.594,176780,85991,20
c5a,q11,10203.71,153.264,42749,20040,1217
c5a,q11,10203.71,86.109,42749,20040,1217
c5a,q11,10203.71,85.037,42749,20040,1217
c5a,q11,10203.71,84.528,42749,20040,1217
c5a,q11,10203.71,84.674,42749,20040,1217
c5a,q11,10203.71,88.289,42749,20040,1217
c5a,q11,10203.71,84.166,42749,20040,1217
c5a,q11,10203.71,84.563,42749,20040,1217
c5a,q11,10203.71,85.922,42749,20040,1217
c5a,q11,10203.71,85.434,42749,20040,1217
c5a,q11,10203.71,85.136,42749,20040,1217
c5a,q11,10203.71,86.528,42749,20040,1217
c5a,q11,10203.71,85.546,42749,20040,1217
c5a,q11,10203.71,84.569,42749,20040,1217
c5a,q11,10203.71,86.653,42749,20040,1217
c5a,q11,10203.71,85.485,42749,20040,1217
c5a,q11,10203.71,86.336,42749,20040,1217
c5a,q11,10203.71,85.424,42749,20040,1217
c5a,q11,10203.71,84.973,42749,20040,1217
c5a,q11,10203.71,85.415,42749,20040,1217
c5a,q12,210511.91,709.957,154,137041,2
c5a,q12,210511.91,713.445,154,137041,2
c5a,q12,210511.91,712.979,154,137041,2
c5a,q12,210511.91,714.541,154,137041,2
c5a,q12,210511.91,713.517,154,137041,2
c5a,q12,210511.91,718.78,154,137041,2
c5a,q12,210511.91,717.734,154,137041,2
c5a,q12,210511.91,715.024,154,137041,2
c5a,q12,210511.91,718.758,154,137041,2
c5a,q12,210511.91,723.423,154,137041,2
c5a,q12,210511.91,717.987,154,137041,2
c5a,q12,210511.91,719.306,154,137041,2
c5a,q12,210511.91,716.294,154,137041,2
c5a,q12,210511.91,715.466,154,137041,2
c5a,q12,210511.91,717.552,154,137041,2
c5a,q12,210511.91,717.293,154,137041,2
c5a,q12,210511.91,719.296,154,137041,2
c5a,q12,210511.91,719.217,154,137041,2
c5a,q12,210511.91,756.75,154,137041,2
c5a,q12,210511.91,717.868,154,137041,2
c5a,q13,142161.33,820.384,1344617,605352,42
c5a,q13,142161.33,826.005,1344617,605352,42
c5a,q13,142161.33,834.005,1344617,605352,42
c5a,q13,142161.33,842.272,1344617,605352,42
c5a,q13,142161.33,848.134,1344617,605352,42
c5a,q13,142161.33,849.897,1344617,605352,42
c5a,q13,142161.33,832.87,1344617,605352,42
c5a,q13,142161.33,833.624,1344617,605352,42
c5a,q13,142161.33,833.825,1344617,605352,42
c5a,q13,142161.33,822.729,1344617,605352,42
c5a,q13,142161.33,840.819,1344617,605352,42
c5a,q13,142161.33,813.447,1344617,605352,42
c5a,q13,142161.33,822.936,1344617,605352,42
c5a,q13,142161.33,835.339,1344617,605352,42
c5a,q13,142161.33,830.659,1344617,605352,42
c5a,q13,142161.33,828.947,1344617,605352,42
c5a,q13,142161.33,851.331,1344617,605352,42
c5a,q13,142161.33,832.862,1344617,605352,42
c5a,q13,142161.33,847.04,1344617,605352,42
c5a,q13,142161.33,854.184,1344617,605352,42
c5a,q14,118586.59,215.453,163,114188,1
c5a,q14,118586.59,210.488,163,114188,1
c5a,q14,118586.59,210.881,163,114188,1
c5a,q14,118586.59,209.988,163,114188,1
c5a,q14,118586.59,210.931,163,114188,1
c5a,q14,118586.59,211.604,163,114188,1
c5a,q14,118586.59,213.269,163,114188,1
c5a,q14,118586.59,211.606,163,114188,1
c5a,q14,118586.59,210.267,163,114188,1
c5a,q14,118586.59,209.808,163,114188,1
c5a,q14,118586.59,211.532,163,114188,1
c5a,q14,118586.59,211.161,163,114188,1
c5a,q14,118586.59,211.436,163,114188,1
c5a,q14,118586.59,210.306,163,114188,1
c5a,q14,118586.59,210.087,163,114188,1
c5a,q14,118586.59,209.679,163,114188,1
c5a,q14,118586.59,209.391,163,114188,1
c5a,q14,118586.59,209.86,163,114188,1
c5a,q14,118586.59,210.498,163,114188,1
c5a,q14,118586.59,210.888,163,114188,1
c5a,q16,40977.39,299.908,4331,3282,18141
c5a,q16,40977.39,307.543,4331,3282,18141
c5a,q16,40977.39,301.242,4331,3282,18141
c5a,q16,40977.39,300.076,4331,3282,18141
c5a,q16,40977.39,309.693,4331,3282,18141
c5a,q16,40977.39,306.068,4331,3282,18141
c5a,q16,40977.39,308.967,4331,3282,18141
c5a,q16,40977.39,303.768,4331,3282,18141
c5a,q16,40977.39,304.661,4331,3282,18141
c5a,q16,40977.39,309.544,4331,3282,18141
c5a,q16,40977.39,305.621,4331,3282,18141
c5a,q16,40977.39,310.256,4331,3282,18141
c5a,q16,40977.39,305.627,4331,3282,18141
c5a,q16,40977.39,307.949,4331,3282,18141
c5a,q16,40977.39,310.837,4331,3282,18141
c5a,q16,40977.39,301.984,4331,3282,18141
