query_id,correct_shared_hit,correct_shared_read,buggy_summed_shared_hit,buggy_summed_shared_read,hit_inflation_factor,read_inflation_factor
q1,14799,95585,73963,477925,4.9978,5.0
q2,160131,42049,1009704,251053,6.3055,5.9705
q3,495447,124226,3963466,1027765,7.9998,8.2733
q4,170129,80893,1020742,485358,5.9998,6.0
q5,317194,263984,2751861,2296981,8.6756,8.7012
q6,2220,108148,8880,432592,4.0,4.0
q7,1182658,499623,9366575,3935737,7.9199,7.8774
q8,165600,92240,1600847,955146,9.667,10.355
q9,2967273,707713,23954876,5621296,8.073,7.9429
q10,176780,85991,1944203,938621,10.9979,10.9153
q11,42749,20040,197986,84932,4.6314,4.2381
q12,154,137041,679,932607,4.4091,6.8053
q13,1344617,605352,9412319,4237464,7.0,7.0
q14,163,114188,652,574758,4.0,5.0334
q16,4331,3282,30130,19910,6.9568,6.0664
q17,226722,110705,923799,338911,4.0746,3.0614
q18,302455,149372,3629164,1731726,11.999,11.5934
q19,2842,17419,14210,87095,5.0,5.0
q20,57360,74699,482051,526946,8.404,7.0543
q21,772613,315571,7704695,3181108,9.9723,10.0805
q22,59398,5177,356356,31062,5.9995,6.0
