query_id,query_num,config,max_parallel_workers_per_gather,times_ms,median_time_ms
q1,1,OFF,0,"[3536.147, 3890.886, 3551.604, 3582.532, 3579.722]",3579.722
q1,1,ON,2,"[1260.732, 1262.669, 1262.927, 1261.369, 1261.944]",1261.944
q2,2,OFF,0,"[226.26, 215.284, 214.612, 214.59, 214.323]",214.612
q2,2,ON,2,"[196.312, 196.64, 199.792, 210.805, 199.703]",199.703
q3,3,OFF,0,"[966.528, 574.103, 575.786, 592.862, 572.773]",575.786
q3,3,ON,2,"[241.319, 241.237, 241.488, 251.767, 240.823]",241.319
q4,4,OFF,0,"[279.915, 280.053, 279.825, 279.763, 279.625]",279.825
q4,4,ON,2,"[128.692, 118.658, 119.283, 119.325, 124.331]",119.325
q5,5,OFF,0,"[867.162, 819.624, 1208.842, 2161.327, 2302.767]",1208.842
q5,5,ON,2,"[524.903, 568.01, 916.114, 1757.721, 1353.66]",916.114
q6,6,OFF,0,"[849.972, 677.923, 844.548, 721.675, 764.576]",764.576
q6,6,ON,2,"[243.739, 242.68, 247.388, 246.937, 263.778]",246.937
q7,7,OFF,0,"[1993.409, 1330.342, 1448.422, 1550.78, 1280.596]",1448.422
q7,7,ON,2,"[1759.961, 1861.749, 1794.375, 1752.345, 1731.307]",1759.961
q8,8,OFF,0,"[276.103, 276.33, 277.688, 277.807, 276.48]",276.48
q8,8,ON,2,"[134.952, 135.683, 136.646, 139.066, 137.251]",136.646
q9,9,OFF,0,"[3008.187, 3042.076, 3356.992, 6803.573, 4016.148]",3356.992
q9,9,ON,2,"[1332.996, 1292.808, 1297.712, 1334.02, 1335.373]",1332.996
q10,10,OFF,0,"[988.572, 1023.687, 1025.636, 984.665, 990.138]",990.138
q10,10,ON,2,"[221.226, 221.662, 225.781, 236.505, 233.792]",225.781
q11,11,OFF,0,"[39.775, 39.848, 39.731, 39.823, 39.872]",39.823
q11,11,ON,2,"[39.801, 40.005, 39.883, 40.175, 39.477]",39.883
q12,12,OFF,0,"[1036.362, 1042.345, 1072.543, 1097.715, 1039.514]",1042.345
q12,12,ON,2,"[375.632, 392.386, 413.037, 378.22, 376.093]",378.22
q13,13,OFF,0,"[1090.008, 852.865, 818.061, 816.916, 857.531]",852.865
q13,13,ON,2,"[1327.908, 1254.626, 1244.058, 1290.038, 1278.362]",1278.362
q14,14,OFF,0,"[767.815, 651.877, 659.324, 646.735, 664.082]",659.324
q14,14,ON,2,"[308.558, 238.111, 229.497, 236.692, 232.728]",236.692
q16,16,OFF,0,"[471.663, 471.774, 468.545, 466.641, 466.265]",468.545
q16,16,ON,2,"[232.038, 230.647, 230.456, 229.22, 278.297]",230.647
q17,17,OFF,0,"[699.438, 692.554, 683.836, 671.164, 671.428]",683.836
q17,17,ON,2,"[664.047, 664.193, 662.623, 662.983, 663.403]",663.403
q18,18,OFF,0,"[1437.127, 1337.799, 1356.176, 1341.116, 1353.516]",1353.516
q18,18,ON,2,"[1510.849, 1512.914, 1510.141, 1513.732, 1531.26]",1512.914
q19,19,OFF,0,"[66.041, 67.859, 66.439, 66.811, 66.22]",66.439
q19,19,ON,2,"[46.914, 37.035, 36.046, 33.261, 33.774]",36.046
q20,20,OFF,0,"[494.231, 493.068, 478.58, 466.345, 467.243]",478.58
q20,20,ON,2,"[467.204, 485.815, 502.95, 466.735, 877.578]",485.815
q21,21,OFF,0,"[1305.405, 1064.715, 982.659, 971.867, 978.372]",982.659
q21,21,ON,2,"[1442.396, 1339.954, 1339.92, 1197.263, 1218.824]",1339.92
q22,22,OFF,0,"[72.629, 72.439, 72.388, 72.404, 72.67]",72.439
q22,22,ON,2,"[32.902, 32.825, 33.96, 35.68, 33.934]",33.934
