query_num,parallel_speedup,benefit,mape_old_single_core,mape_new_multi_core,uses_parallel,workers_launched,off_time_ms,on_time_ms
10,4.385391153374288,18.912203181286603,31.285735953906027,12.373532772619424,True,2,990.138,225.781
6,3.096239121719305,0.0503139809143569,21.671836697961307,21.62152271704695,True,2,764.576,246.937
1,2.836672625726657,47.44594465496739,66.81627786925736,19.370333214289975,True,2,3579.722,1261.944
14,2.785577881804201,0.0,16.290876991748377,16.290876991748377,True,2,659.324,236.692
12,2.7559224789804873,40.20062937673628,58.75672899968608,18.5560996229498,True,2,1042.345,378.22
9,2.518381150431059,22.14204044748054,36.40953884759987,14.267498400119328,True,2,3356.992,1332.996
3,2.385995300825878,21.962949806393947,37.9769920943259,16.014042287931954,True,2,575.786,241.319
4,2.345065996228787,0.0446985590143249,19.211430221554807,19.16673166254048,True,2,279.825,119.325
22,2.13470265810102,0.0,20.61060847964426,20.61060847964426,True,2,72.439,33.934
16,2.0314376514760655,32.56408766563946,47.181353141766024,14.617265476126562,True,2,468.545,230.647
8,2.0233303572735393,23.65665842927114,43.832683554281985,20.176025125010845,True,2,276.48,136.646
19,1.8431726127725683,-0.0324869029614447,19.962983122062756,19.9954700250242,True,2,66.439,36.046
5,1.3195322852832727,24.8973530130173,46.78617431270695,21.88882129968965,True,2,1208.842,916.114
2,1.0746558639579775,-25.14487814231557,18.182873732712324,43.32775187502789,True,2,214.612,199.703
17,1.030800282784371,-0.1705153321081098,47.18541368107435,47.35592901318246,True,2,683.836,663.403
11,0.9984955996289145,-22.035271312788087,12.824014745037143,34.85928605782523,False,0,39.823,39.883
20,0.9851074997684304,0.0,27.962664600236803,27.962664600236803,False,0,478.58,485.815
18,0.8946417311228531,18.37053123803898,34.958979420043256,16.588448182004278,True,2,1353.516,1512.914
7,0.8229852820602275,-8.441155849758438,14.47098199247641,22.91213784223485,True,2,1448.422,1759.961
21,0.7333713953071824,5.85894043767531,18.992611104503144,13.133670666827834,True,2,982.659,1339.92
13,0.6671545305633302,-0.0213254172499528,12.469020047542124,12.490345464792076,True,2,852.865,1278.362
