step,dev_machine,prod_machine,query_id,confidence,decision,predicted_p50,actual_p50,blind_error_pct,interval_component,hw_region_component,query_support_component,gated_error_pct,retrained_after_this_step
0,z1d,m5a,q6,1.0,predict,0.7892341428093247,0.8584678512242552,8.064799201996529,,1.0,,8.064799201996529,
1,c5a,z1d,q6,0.8082587527881575,predict,0.971359472016023,1.7528497731737596,44.58398621022428,,0.8082587527881575,,44.58398621022428,
2,r5n,z1d,q17,0.8082587527881575,predict,1.0493246239437328,0.8084711576135843,29.791225582009744,,0.8082587527881575,,29.791225582009744,
3,r5n,c5a,q6,0.41888149195354507,measure,1.3531193883379393,0.4744063062434078,185.22373554698964,,0.41888149195354507,,,False
4,z1d,c7i,q10,1.0,predict,0.8217209992627065,0.9381308336497911,12.40869932120161,,1.0,,12.40869932120161,
5,c5a,m5a,q14,1.0,predict,0.7182399729769501,1.4306408245308855,49.79592636660116,,1.0,,49.79592636660116,
6,c7i,c5a,q18,1.0,predict,0.9279567146987989,0.6583167680898231,40.95899719999008,,1.0,,40.95899719999008,
7,c5a,z1d,q17,0.8082587527881575,predict,0.755967629600201,0.8727736051102643,13.383307518254545,,0.8082587527881575,,13.383307518254545,
8,z1d,c7i,q21,1.0,predict,0.8032571622628008,0.9709160313192917,17.268112138253006,,1.0,,17.268112138253006,
9,z1d,r5n,q7,1.0,predict,1.0699021667122577,1.1682679850790072,8.419799191886378,,1.0,,8.419799191886378,
10,z1d,m5a,q22,1.0,predict,0.9149747925702459,0.9228514118191637,0.8535089341621181,,1.0,,0.8535089341621181,
11,m5a,c5a,q14,1.0,predict,1.3373578955827528,0.698987462718258,91.3278802429399,,1.0,,91.3278802429399,
12,r5n,z1d,q11,0.8082587527881575,predict,0.8750819269996211,0.7076722610745363,23.65638377161885,,0.8082587527881575,,23.65638377161885,
13,z1d,r5n,q9,1.0,predict,1.006319255900949,1.200605679789066,16.18236754654127,,1.0,,16.18236754654127,
14,c5a,c7i,q8,1.0,predict,1.0772100374898335,2.0831753970094873,48.28999809443661,,1.0,,48.28999809443661,
15,c5a,z1d,q8,0.8082587527881575,predict,1.1509068681318722,2.0512958321782766,43.89366711140241,,0.8082587527881575,,43.89366711140241,
16,c5a,c7i,q1,1.0,predict,1.0989514434730048,1.5973382706645731,31.201082221877417,,1.0,,31.201082221877417,
17,c7i,c5a,q6,1.0,predict,1.0085879440301562,0.6775964293386928,48.84788354249416,,1.0,,48.84788354249416,
