query_id,query_num,root_cost,root_actual_rows,explain_exec_time_ms,rows_processed,node_count,plan_depth,join_count,agg_count,has_aggregate,sort_count,has_sort,subplan_count,rescan_count,correlated_pattern_count,has_correlated_pattern
q1,1,229135.63,4,4028.978,5927485,5,5,0,2,1,1,1,0,3,3,1
q2,2,56637.06,100,2081.045,534189,22,9,7,1,1,1,1,1,10,11,1
q3,3,192876.36,10,3847.702,1025326,12,10,2,2,1,2,1,0,8,8,1
q4,4,69549.88,5,3055.871,214457,7,6,1,2,1,1,1,0,5,5,1
q5,5,82457.98,5,4175.085,723948,19,13,5,2,1,2,1,0,16,16,1
q6,6,167866.38,1,2963.527,113851,4,4,0,2,1,0,0,0,2,2,1
q7,7,69721.3,4,44914.304,1831883,18,10,5,2,1,1,1,0,16,16,1
q8,8,78599.15,2,1183.533,127365,22,11,7,2,1,1,1,0,20,20,1
q9,9,56103.23,175,12095.364,3449330,17,11,5,2,1,1,1,0,15,15,1
q10,10,161259.47,20,2967.013,1009558,15,11,3,2,1,2,1,0,11,11,1
q11,11,10534.8,1217,1566.44,125013,15,6,4,2,1,1,1,1,2,3,1
q12,12,208076.08,2,2845.693,1624862,8,7,1,2,1,1,1,0,6,6,1
q13,13,154088.5,42,1179.911,3633921,8,7,1,3,1,1,1,0,4,4,1
q14,14,155210.85,1,2270.414,554035,7,6,1,2,1,0,0,0,5,5,1
q16,16,38879.7,18141,262.089,1249575,9,7,1,1,1,2,1,1,6,7,1
q17,17,193545.95,1,3842.312,6413000,9,5,1,2,1,0,0,1,4,5,1
q18,18,498960.61,9,3133.741,19803951,16,12,3,3,1,2,1,0,12,12,1
q19,19,33558.54,1,258.515,640,6,5,1,2,1,0,0,0,4,4,1
q20,20,174559.85,193,2987.524,5426542,15,9,3,1,1,1,1,1,6,7,1
q21,21,72968.97,100,3753.522,2329312,17,12,5,1,1,2,1,0,11,11,1
q22,22,12866.15,7,119.841,89441,11,6,1,4,1,1,1,1,7,8,1
