coverage,n,selective_risk
1.0,840,31.261196520406955
0.95,798,28.805470142829982
0.9,756,26.91934065140732
0.85,714,26.31480573093897
0.8,672,26.59070092930264
0.75,630,26.954773213483563
0.7,588,27.324475382768075
0.65,546,25.257184114873315
0.6,504,24.940258741649107
0.55,462,25.932956105498793
0.5,420,25.938727221626355
0.45,378,24.529961856784194
0.4,336,22.341986229533926
0.35,294,22.064002091542463
0.3,252,21.134935316592145
0.25,210,21.56315778287444
0.2,168,23.062087096214917
0.15,126,25.490260514413002
0.1,84,26.116078387915763
0.05,42,28.68293741987275
