coverage,n,selective_risk
1.0,840,32.788005235510404
0.95,798,30.353262805253564
0.9,756,28.580167684796642
0.85,714,27.893666252145366
0.8,672,28.125461897823328
0.75,630,28.46845173229152
0.7,588,28.8615378132499
0.65,546,26.911046129338523
0.6,504,26.276286210990804
0.55,462,27.21184785970932
0.5,420,27.034220969658755
0.45,378,25.75228785431473
0.4,336,23.960188103124057
0.35,294,23.733564796272766
0.3,252,22.82666416031154
0.25,210,23.04557550330167
0.2,168,24.293623305511705
0.15,126,26.832452730604448
0.1,84,27.487156782847066
0.05,42,29.363377252262108
