coverage,n,selective_risk_mean,selective_risk_min,selective_risk_max
1.0,840,31.261196520406944,31.261196520406955,31.26119652040696
0.95,798,31.257635342968943,30.62636145954019,31.69822938269599
0.9,756,31.262075122090174,30.38633353093994,32.01489579025958
0.85,714,31.234293695639415,30.10527503111278,32.10128812077706
0.8,672,31.247219449998774,29.650663188568064,32.44774390171797
0.75,630,31.263637091218815,29.901268159577214,32.752483606895694
0.7,588,31.262620464715745,29.18931911455917,32.722549822770944
0.65,546,31.329327811311945,29.713521312929515,32.934761904524606
0.6,504,31.25319252474971,29.417416242996094,32.99936335222739
0.55,462,31.268853609459537,29.03852149343124,33.40483475528627
0.5,420,31.301739908499723,29.201046626694474,33.835310277435596
0.45,378,31.274614316966094,28.5064874883332,34.54120917968496
0.4,336,31.2542156990128,28.389617548610982,34.257341138513716
0.35,294,31.253676579136197,27.759067641793976,34.54964446258484
0.3,252,31.305231740058378,27.52099867610087,36.027935748649824
0.25,210,31.23147225795194,27.47875465844877,35.28616360665752
0.2,168,31.15059247677487,26.038063706260544,37.05007975213677
0.15,126,31.135418280277268,23.296231645769574,38.904188351356325
0.1,84,31.401454837503437,24.319549917373923,39.121162222918734
0.05,42,31.250086914305328,20.631314955909037,43.0277569992302
