coverage,n,selective_risk_mean,selective_risk_min,selective_risk_max
1.0,840,32.788005235510404,32.78800523551039,32.788005235510404
0.95,798,32.78468848651773,32.148976128544724,33.24555517226907
0.9,756,32.786501195930676,31.812430964312956,33.52641633317213
0.85,714,32.76498027708503,31.563606452126695,33.666750914324744
0.8,672,32.768070816741094,31.327151053986817,33.84273705744574
0.75,630,32.79091463704874,31.450676660030865,34.20296554684974
0.7,588,32.792947813518275,30.619835390394915,34.46220788801973
0.65,546,32.83608898295491,30.966365691466976,34.64522125230551
0.6,504,32.78215836816885,30.70738598620893,34.602010199739254
0.55,462,32.79110683468181,30.714392517325994,34.86590363692703
0.5,420,32.84654479103013,30.80493038751739,35.27162503769405
0.45,378,32.789479048000956,30.27865811549266,36.17601568884605
0.4,336,32.81015618703592,29.87460968123664,35.933823818286406
0.35,294,32.797218811423356,29.071208633325547,36.082529678745445
0.3,252,32.86575763761687,29.488704080988267,37.175615279335275
0.25,210,32.75980500931254,28.986560268687192,36.75370431384817
0.2,168,32.699410954595386,28.08014979695026,38.579487790213726
0.15,126,32.665766394072044,25.185352508354917,39.452139618657895
0.1,84,32.88032650516145,26.15175763587117,39.67472460805245
0.05,42,32.794158204525814,21.850547864232187,46.37146615155431
